"year","season","event_gender","event_count"
1896,"Summer","Men's",43
1900,"Summer","Men's",71
1900,"Summer","Mixed/Other",17
1900,"Summer","Women's",2
1904,"Summer","Men's",92
1904,"Summer","Women's",3
1906,"Summer","Men's",72
1906,"Summer","Mixed/Other",1
1906,"Summer","Women's",1
1908,"Summer","Men's",97
1908,"Summer","Mixed/Other",8
1908,"Summer","Women's",4
1912,"Summer","Men's",91
1912,"Summer","Mixed/Other",11
1912,"Summer","Women's",5
1920,"Summer","Men's",133
1920,"Summer","Mixed/Other",17
1920,"Summer","Women's",8
1924,"Summer","Men's",112
1924,"Summer","Mixed/Other",9
1924,"Summer","Women's",10
1924,"Winter","Men's",14
1924,"Winter","Mixed/Other",2
1924,"Winter","Women's",1
1928,"Summer","Men's",92
1928,"Summer","Mixed/Other",16
1928,"Summer","Women's",14
1928,"Winter","Men's",12
1928,"Winter","Mixed/Other",1
1928,"Winter","Women's",1
1932,"Summer","Men's",99
1932,"Summer","Mixed/Other",18
1932,"Summer","Women's",14
1932,"Winter","Men's",12
1932,"Winter","Mixed/Other",1
1932,"Winter","Women's",1
1936,"Summer","Men's",110
1936,"Summer","Mixed/Other",25
1936,"Summer","Women's",15
1936,"Winter","Men's",14
1936,"Winter","Mixed/Other",1
1936,"Winter","Women's",2
1948,"Summer","Men's",112
1948,"Summer","Mixed/Other",22
1948,"Summer","Women's",19
1948,"Winter","Men's",17
1948,"Winter","Mixed/Other",1
1948,"Winter","Women's",4
1952,"Summer","Men's",117
1952,"Summer","Mixed/Other",7
1952,"Summer","Women's",25
1952,"Winter","Men's",16
1952,"Winter","Mixed/Other",1
1952,"Winter","Women's",5
1956,"Summer","Men's",116
1956,"Summer","Mixed/Other",9
1956,"Summer","Women's",26
1956,"Winter","Men's",17
1956,"Winter","Mixed/Other",1
1956,"Winter","Women's",6
1960,"Summer","Men's",113
1960,"Summer","Mixed/Other",8
1960,"Summer","Women's",29
1960,"Winter","Men's",16
1960,"Winter","Mixed/Other",1
1960,"Winter","Women's",10
1964,"Summer","Men's",119
1964,"Summer","Mixed/Other",11
1964,"Summer","Women's",33
1964,"Winter","Men's",20
1964,"Winter","Mixed/Other",2
1964,"Winter","Women's",12
1968,"Summer","Men's",115
1968,"Summer","Mixed/Other",18
1968,"Summer","Women's",39
1968,"Winter","Men's",21
1968,"Winter","Mixed/Other",2
1968,"Winter","Women's",12
1972,"Summer","Men's",132
1972,"Summer","Mixed/Other",18
1972,"Summer","Women's",43
1972,"Winter","Men's",21
1972,"Winter","Mixed/Other",2
1972,"Winter","Women's",12
1976,"Summer","Men's",130
1976,"Summer","Mixed/Other",19
1976,"Summer","Women's",49
1976,"Winter","Men's",22
1976,"Winter","Mixed/Other",3
1976,"Winter","Women's",12
1980,"Summer","Men's",134
1980,"Summer","Mixed/Other",19
1980,"Summer","Women's",50
1980,"Winter","Men's",23
1980,"Winter","Mixed/Other",3
1980,"Winter","Women's",12
1984,"Summer","Men's",145
1984,"Summer","Mixed/Other",14
1984,"Summer","Women's",62
1984,"Winter","Men's",23
1984,"Winter","Mixed/Other",3
1984,"Winter","Women's",13
1988,"Summer","Men's",151
1988,"Summer","Mixed/Other",14
1988,"Summer","Women's",72
1988,"Winter","Men's",27
1988,"Winter","Mixed/Other",3
1988,"Winter","Women's",16
1992,"Summer","Men's",159
1992,"Summer","Mixed/Other",12
1992,"Summer","Women's",86
1992,"Winter","Men's",31
1992,"Winter","Mixed/Other",3
1992,"Winter","Women's",23
1994,"Winter","Men's",33
1994,"Winter","Mixed/Other",3
1994,"Winter","Women's",25
1996,"Summer","Men's",163
1996,"Summer","Mixed/Other",11
1996,"Summer","Women's",97
1998,"Winter","Men's",36
1998,"Winter","Mixed/Other",3
1998,"Winter","Women's",29
2000,"Summer","Men's",168
2000,"Summer","Mixed/Other",12
2000,"Summer","Women's",120
2002,"Winter","Men's",41
2002,"Winter","Mixed/Other",3
2002,"Winter","Women's",34
2004,"Summer","Men's",166
2004,"Summer","Mixed/Other",10
2004,"Summer","Women's",125
2006,"Winter","Men's",44
2006,"Winter","Mixed/Other",3
2006,"Winter","Women's",37
2008,"Summer","Men's",165
2008,"Summer","Mixed/Other",10
2008,"Summer","Women's",127
2010,"Winter","Men's",45
2010,"Winter","Mixed/Other",3
2010,"Winter","Women's",38
2012,"Summer","Men's",162
2012,"Summer","Mixed/Other",8
2012,"Summer","Women's",132
2014,"Winter","Men's",49
2014,"Winter","Mixed/Other",6
2014,"Winter","Women's",43
2016,"Summer","Men's",161
2016,"Summer","Mixed/Other",9
2016,"Summer","Women's",136
