"year","season","athlete_count","nation_count","event_count","sport_count"
1896,"Summer",176,12,43,9
1900,"Summer",1224,31,90,20
1904,"Summer",650,14,95,18
1906,"Summer",841,20,74,13
1908,"Summer",2024,22,109,24
1912,"Summer",2409,28,107,17
1920,"Summer",2676,29,158,25
1924,"Summer",3256,45,131,20
1924,"Winter",313,19,17,10
1928,"Summer",3247,46,122,17
1928,"Winter",461,25,14,8
1932,"Summer",1922,47,131,18
1932,"Winter",252,17,14,7
1936,"Summer",4484,49,150,24
1936,"Winter",668,28,17,8
1948,"Summer",4402,59,153,20
1948,"Winter",668,28,22,9
1952,"Summer",4932,67,149,19
1952,"Winter",694,30,22,8
1956,"Summer",3347,71,151,19
1956,"Winter",821,32,24,8
1960,"Summer",5352,83,150,19
1960,"Winter",665,30,27,8
1964,"Summer",5137,93,163,21
1964,"Winter",1094,36,34,10
1968,"Summer",5558,111,172,20
1968,"Winter",1160,36,35,10
1972,"Summer",7114,120,193,23
1972,"Winter",1008,34,35,10
1976,"Summer",6073,91,198,23
1976,"Winter",1128,36,37,10
1980,"Summer",5259,80,203,23
1980,"Winter",1071,36,38,10
1984,"Summer",6798,139,221,25
1984,"Winter",1273,48,39,10
1988,"Summer",8454,156,237,27
1988,"Winter",1425,56,46,10
1992,"Summer",9386,168,257,29
1992,"Winter",1801,64,57,12
1994,"Winter",1738,67,61,12
1996,"Summer",10339,196,271,31
1998,"Winter",2179,72,68,14
2000,"Summer",10647,199,300,34
2002,"Winter",2399,76,78,15
2004,"Summer",10557,200,301,34
2006,"Winter",2494,78,84,15
2008,"Summer",10899,202,302,34
2010,"Winter",2536,81,86,15
2012,"Summer",10517,203,302,32
2014,"Winter",2745,88,98,15
2016,"Summer",11179,204,306,34
