"year","season","region","cumulative_gold_medals","cumulative_silver_medals","cumulative_bronze_medals","cumulative_medals"
1896,"Summer","Greece",10,17,17,44
1896,"Summer","USA",11,6,2,19
1896,"Summer","Germany",7,5,2,14
1896,"Summer","France",5,4,2,11
1896,"Summer","UK",3,3,3,9
1896,"Summer","Denmark",1,2,3,6
1896,"Summer","Hungary",2,1,3,6
1896,"Summer","Austria",2,1,2,5
1896,"Summer","Switzerland",1,2,0,3
1896,"Summer","Australia",2,0,1,3
1900,"Summer","France",34,45,41,120
1900,"Summer","USA",32,22,19,73
1900,"Summer","UK",22,14,16,52
1900,"Summer","Belgium",6,7,5,18
1900,"Summer","Switzerland",7,4,1,12
1900,"Summer","Germany",11,8,4,23
1900,"Summer","Netherlands",1,2,4,7
1900,"Summer","Denmark",3,5,5,13
1900,"Summer","Austria",2,4,5,11
1900,"Summer","Australia",5,0,4,9
1900,"Summer","Hungary",3,3,5,11
1900,"Summer","Italy",3,2,0,5
1900,"Summer","Norway",0,2,3,5
1900,"Summer","Czech Republic",0,1,2,3
1900,"Summer","Cuba",1,1,0,2
1900,"Summer","Canada",1,0,1,2
1900,"Summer","Sweden",1,0,1,2
1900,"Summer","India",0,2,0,2
1900,"Summer","Colombia",0,1,0,1
1900,"Summer","Luxembourg",1,0,0,1
1900,"Summer","New Zealand",1,0,0,1
1900,"Summer","Haiti",1,0,0,1
1900,"Summer","Spain",1,0,0,1
1900,"Summer","Mexico",0,0,1,1
1904,"Summer","USA",108,101,95,304
1904,"Summer","Germany",15,13,11,39
1904,"Summer","Canada",5,1,2,8
1904,"Summer","Hungary",5,4,6,15
1904,"Summer","Australia",5,3,5,13
1904,"Summer","Austria",4,5,6,15
1904,"Summer","Cuba",5,1,0,6
1904,"Summer","Switzerland",8,4,3,15
1904,"Summer","Norway",2,2,3,7
1904,"Summer","France",34,47,41,122
1904,"Summer","Greece",11,17,18,46
1904,"Summer","UK",23,15,16,54
1906,"Summer","France",49,57,57,163
1906,"Summer","Greece",19,31,31,81
1906,"Summer","UK",31,27,21,79
1906,"Summer","USA",120,106,101,327
1906,"Summer","Italy",10,8,3,21
1906,"Summer","Sweden",3,5,8,16
1906,"Summer","Germany",19,19,15,53
1906,"Summer","Hungary",7,9,9,25
1906,"Summer","Austria",7,8,9,24
1906,"Summer","Switzerland",12,7,4,23
1906,"Summer","Belgium",8,9,8,25
1906,"Summer","Denmark",6,7,6,19
1906,"Summer","Finland",2,1,1,4
1906,"Summer","Australia",5,3,8,16
1906,"Summer","Netherlands",1,3,6,10
1906,"Summer","Czech Republic",0,1,4,5
1906,"Summer","Norway",3,3,3,9
1906,"Summer","Canada",6,2,2,10
1908,"Summer","UK",87,78,59,224
1908,"Summer","USA",142,118,113,373
1908,"Summer","Sweden",11,11,19,41
1908,"Summer","France",54,62,66,182
1908,"Summer","Canada",9,5,12,26
1908,"Summer","Germany",22,24,20,66
1908,"Summer","Hungary",10,13,11,34
1908,"Summer","Norway",5,6,6,17
1908,"Summer","Belgium",9,14,10,33
1908,"Summer","Australia",6,5,10,21
1908,"Summer","Denmark",6,9,9,24
1908,"Summer","Finland",3,2,4,9
1908,"Summer","Greece",19,34,32,85
1908,"Summer","Italy",12,10,3,25
1908,"Summer","Russia",1,2,0,3
1908,"Summer","Netherlands",1,3,8,12
1908,"Summer","Czech Republic",0,1,6,7
1908,"Summer","South Africa",1,1,0,2
1908,"Summer","Austria",7,8,10,25
1912,"Summer","Sweden",35,35,36,106
1912,"Summer","USA",168,136,132,436
1912,"Summer","UK",97,93,75,265
1912,"Summer","Finland",12,10,13,35
1912,"Summer","Germany",28,37,27,92
1912,"Summer","France",61,67,69,197
1912,"Summer","Denmark",7,15,14,36
