"season","region","gold","silver","bronze","total_medals","medals_rank"
"Summer","USA",1035,802,708,2545,1
"Summer","Russia",592,498,487,1577,2
"Summer","Germany",444,457,491,1392,3
"Summer","UK",278,317,300,895,4
"Summer","France",234,256,287,777,5
"Summer","Italy",219,191,198,608,6
"Summer","China",228,163,154,545,7
"Summer","Australia",150,171,197,518,8
"Summer","Sweden",150,175,188,513,9
"Summer","Hungary",178,154,172,504,10
"Summer","Japan",142,134,161,437,11
"Summer","Finland",104,86,120,310,12
"Summer","Canada",64,104,137,305,13
"Summer","Romania",88,95,120,303,14
"Summer","Netherlands",88,97,114,299,15
"Summer","Poland",69,87,134,290,16
"Summer","South Korea",90,85,89,264,17
"Summer","Bulgaria",51,86,80,217,18
"Summer","Cuba",77,67,70,214,19
"Summer","Denmark",49,81,82,212,20
"Summer","Switzerland",58,82,69,209,21
"Summer","Czech Republic",64,68,75,207,22
"Summer","Belgium",44,59,63,166,23
"Summer","Norway",59,51,48,158,24
"Summer","Greece",42,57,52,151,25
"Summer","Spain",44,63,41,148,26
"Summer","Brazil",30,36,62,128,27
"Summer","Ukraine",35,32,59,126,28
"Summer","New Zealand",47,27,44,118,29
"Summer","Austria",26,40,42,108,30
"Summer","Serbia",31,39,37,107,31
"Summer","Kenya",31,38,31,100,32
"Summer","Turkey",40,27,28,95,33
"Summer","South Africa",25,33,30,88,34
"Summer","Belarus",13,28,43,84,35
"Summer","Jamaica",22,32,22,76,36
"Summer","Argentina",21,25,28,74,37
"Summer","Kazakhstan",19,22,29,70,38
"Summer","Iran",18,21,29,68,39
"Summer","Mexico",13,24,30,67,40
"Summer","North Korea",16,15,23,54,41
"Summer","Ethiopia",22,9,22,53,42
"Summer","Azerbaijan",7,12,25,44,43
"Summer","Estonia",9,9,16,34,44
"Summer","Uzbekistan",9,7,17,33,45
"Summer","Ireland",9,11,13,33,45
"Summer","Croatia",11,10,12,33,45
"Summer","Georgia",8,6,18,32,48
"Summer","Thailand",9,8,13,30,49
"Summer","Indonesia",7,12,11,30,49
"Summer","Slovakia",9,11,8,28,51
"Summer","Colombia",5,9,14,28,51
"Summer","India",9,7,12,28,51
"Summer","Egypt",7,8,12,27,54
"Summer","Mongolia",2,10,14,26,55
"Summer","Lithuania",6,6,13,25,56
"Summer","Portugal",4,8,12,24,57
"Summer","Nigeria",3,8,13,24,57
"Summer","Taiwan",3,7,14,24,57
"Summer","Morocco",6,5,12,23,60
"Summer","Slovenia",5,8,10,23,60
"Summer","Trinidad",3,5,13,21,62
"Summer","Latvia",3,11,5,19,63
"Summer","Algeria",5,4,8,17,64
"Summer","Armenia",2,5,9,16,65
"Summer","Venezuela",2,3,10,15,66
"Summer","Bahamas",6,2,6,14,67
"Summer","Chile",2,7,4,13,68
"Summer","Tunisia",3,3,7,13,68
"Summer","Malaysia",0,7,4,11,70
"Summer","Pakistan",3,3,4,10,71
"Summer","Uruguay",2,2,6,10,71
"Summer","Philippines",0,3,7,10,71
"Summer","Israel",1,1,7,9,74
"Summer","Puerto Rico",1,2,6,9,74
"Summer","Zimbabwe",3,4,1,8,76
"Summer","Uganda",2,3,2,7,77
"Summer","Moldova",0,2,5,7,77
"Summer","Dominican Republic",3,2,2,7,77
"Summer","Luxembourg",4,2,0,6,80
"Summer","Syria",1,2,2,5,81
"Summer","Qatar",0,1,4,5,81
"Summer","Individual Olympic Athletes",1,1,3,5,81
"Summer","Cameroon",3,1,1,5,81
"Summer","Singapore",1,2,2,5,81
"Summer","Ghana",0,1,3,4,86
"Summer","Lebanon",0,2,2,4,86
"Summer","Iceland",0,2,2,4,86
"Summer","Tajikistan",1,1,2,4,86
"Summer","Vietnam",1,3,0,4,86
"Summer","Peru",1,3,0,4,86
"Summer","Namibia",0,4,0,4,86
"Summer","Costa Rica",1,1,2,4,86
"Summer","Ivory Coast",1,1,1,3,94
"Summer","Panama",1,0,2,3,94
"Summer","Bahrain",1,1,1,3,94
"Summer","Haiti",1,1,1,3,94
"Summer","Saudi Arabia",0,1,2,3,94
"Summer","Kyrgyzstan",0,1,2,3,94
"Summer","Burundi",1,1,0,2,100
"Summer","Zambia",0,1,1,2,100
"Summer","Mozambique",1,0,1,2,100
"Summer","Afghanistan",0,0,2,2,100
"Summer","Grenada",1,1,0,2,100
"Summer","Suriname",1,0,1,2,100
"Summer","Niger",0,1,1,2,100
"Summer","Tanzania",0,2,0,2,100
"Summer","Sri Lanka",0,2,0,2,100
"Summer","Kuwait",0,0,2,2,100
"Summer","United Arab Emirates",1,0,1,2,100
"Summer","Ecuador",1,1,0,2,100
"Summer","Djibouti",0,0,1,1,112
"Summer","Cyprus",0,1,0,1,112
"Summer","Gabon",0,1,0,1,112
"Summer","Fiji",1,0,0,1,112
"Summer","Togo",0,0,1,1,112
"Summer","Iraq",0,0,1,1,112
"Summer","Jordan",1,0,0,1,112
"Summer","Bermuda",0,0,1,1,112
"Summer","Botswana",0,1,0,1,112
"Summer","Mauritius",0,0,1,1,112
"Summer","Kosovo",1,0,0,1,112
"Summer","Virgin Islands, US",0,1,0,1,112
"Summer","Guyana",0,0,1,1,112
"Summer","Monaco",0,0,1,1,112
"Summer","Tonga",0,1,0,1,112
"Summer","Sudan",0,1,0,1,112
"Summer","Senegal",0,1,0,1,112
"Summer","Curacao",0,1,0,1,112
"Summer","Montenegro",0,1,0,1,112
"Summer","Paraguay",0,1,0,1,112
"Summer","Eritrea",0,0,1,1,112
"Summer","Barbados",0,0,1,1,112
"Summer","Guatemala",0,1,0,1,112
"Summer","Macedonia",0,0,1,1,112
"Winter","Germany",136,135,106,377,1
"Winter","Russia",135,102,102,339,2
"Winter","Norway",111,108,100,319,3
"Winter","USA",96,99,84,279,4
"Winter","Austria",59,78,81,218,5
"Winter","Canada",62,56,52,170,6
"Winter","Finland",42,62,57,161,7
"Winter","Sweden",50,40,54,144,8
"Winter","Switzerland",50,40,47,137,9
"Winter","Italy",37,34,43,114,10
"Winter","Netherlands",37,38,35,110,11
"Winter","France",31,31,47,109,12
"Winter","China",12,22,19,53,13
"Winter","South Korea",26,17,10,53,13
"Winter","Czech Republic",9,17,23,49,15
"Winter","Japan",10,17,18,45,16
"Winter","UK",11,4,12,27,17
"Winter","Poland",6,7,7,20,18
"Winter","Slovenia",2,4,9,15,19
"Winter","Belarus",6,4,5,15,19
"Winter","Australia",6,3,4,13,21
"Winter","Croatia",4,6,1,11,22
"Winter","Liechtenstein",2,2,5,9,23
"Winter","Kazakhstan",1,3,3,7,24
"Winter","Ukraine",2,1,4,7,24
"Winter","Latvia",0,4,3,7,24
"Winter","Estonia",4,2,1,7,24
"Winter","Hungary",0,2,4,6,28
"Winter","Bulgaria",1,2,3,6,28
"Winter","Slovakia",2,2,1,5,30
"Winter","Belgium",1,1,3,5,30
"Winter","Serbia",0,3,1,4,32
"Winter","Luxembourg",0,2,0,2,33
"Winter","Spain",1,0,1,2,33
"Winter","North Korea",0,1,1,2,33
"Winter","New Zealand",0,1,0,1,36
"Winter","India",1,0,0,1,36
"Winter","Nepal",1,0,0,1,36
"Winter","Denmark",0,1,0,1,36
"Winter","Romania",0,0,1,1,36
"Winter","Uzbekistan",1,0,0,1,36
